simulation: 1
Number: customer type: event: station: time: 
356, Corporate, Creation, Source corporate, 28097.37255983909
356, Corporate, Production started, CSA Corporate 0 4, 28097.37255983909
356, Corporate, Production complete, CSA Corporate 0 4, 28455.255954231485
360, Corporate, Creation, Source corporate, 28403.192439182567
360, Corporate, Production started, CSA Corporate 0 5, 28403.192439182567
360, Corporate, Production complete, CSA Corporate 0 5, 28575.290585547093
371, Corporate, Creation, Source corporate, 28849.85566906833
371, Corporate, Production started, CSA Corporate 0 3, 28849.85566906833
371, Corporate, Production complete, CSA Corporate 0 3, 28980.45985593456
373, Corporate, Creation, Source corporate, 28854.85152994073
373, Corporate, Production started, CSA Corporate 0 7, 28854.85152994073
373, Corporate, Production complete, CSA Corporate 0 7, 29122.483619770002
376, Corporate, Creation, Source corporate, 28962.90683974041
376, Corporate, Production started, CSA Corporate 0 4, 28962.90683974041
376, Corporate, Production complete, CSA Corporate 0 4, 29181.47566924132
379, Corporate, Creation, Source corporate, 28929.737461031153
379, Corporate, Production started, CSA Corporate 0 6, 28929.737461031153
379, Corporate, Production complete, CSA Corporate 0 6, 29258.4826375532
381, Corporate, Creation, Source corporate, 29095.66762287396
381, Corporate, Production started, CSA Corporate 0 5, 29095.66762287396
381, Corporate, Production complete, CSA Corporate 0 5, 29286.88943462122
385, Corporate, Creation, Source corporate, 29038.769593354573
385, Corporate, Production started, CSA Corporate 0 8, 29038.769593354573
385, Corporate, Production complete, CSA Corporate 0 8, 29329.62939867338
386, Corporate, Creation, Source corporate, 29074.07028335983
386, Corporate, Production started, CSA Corporate 0 9, 29074.07028335983
386, Corporate, Production complete, CSA Corporate 0 9, 29332.315395832327
387, Corporate, Creation, Source corporate, 29160.28892306075
387, Corporate, Production started, CSA Corporate 0 2, 29160.28892306075
387, Corporate, Production complete, CSA Corporate 0 2, 29349.625410009256
391, Corporate, Creation, Source corporate, 29156.67193075182
391, Corporate, Production started, CSA Corporate 0 0, 29156.67193075182
391, Corporate, Production complete, CSA Corporate 0 0, 29392.70513854043
394, Corporate, Creation, Source corporate, 29251.74513232651
394, Corporate, Production started, CSA Corporate 0 1, 29251.74513232651
394, Corporate, Production complete, CSA Corporate 0 1, 29513.195936568885
399, Corporate, Creation, Source corporate, 29413.313761167312
399, Corporate, Production started, CSA Corporate 0 3, 29413.313761167312
399, Corporate, Production complete, CSA Corporate 0 3, 29624.894732277666
402, Corporate, Creation, Source corporate, 29445.205168618195
402, Corporate, Production started, CSA Corporate 0 6, 29445.205168618195
402, Corporate, Production complete, CSA Corporate 0 6, 29657.667845138167
407, Corporate, Creation, Source corporate, 29594.418412601713
407, Corporate, Production started, CSA Corporate 0 8, 29594.418412601713
407, Corporate, Production complete, CSA Corporate 0 8, 29763.244499848977
410, Corporate, Creation, Source corporate, 29683.886320985854
410, Corporate, Production started, CSA Corporate 0 5, 29683.886320985854
410, Corporate, Production complete, CSA Corporate 0 5, 29815.83502938385
412, Corporate, Creation, Source corporate, 29655.699906114114
412, Corporate, Production started, CSA Corporate 0 9, 29655.699906114114
412, Corporate, Production complete, CSA Corporate 0 9, 29941.586131700562
414, Corporate, Creation, Source corporate, 29804.54799485232
414, Corporate, Production started, CSA Corporate 0 8, 29804.54799485232
414, Corporate, Production complete, CSA Corporate 0 8, 29950.399938280025
416, Corporate, Creation, Source corporate, 29677.132624899074
416, Corporate, Production started, CSA Corporate 0 7, 29677.132624899074
416, Corporate, Production complete, CSA Corporate 0 7, 29987.696603806417
421, Corporate, Creation, Source corporate, 29886.92577949522
421, Corporate, Production started, CSA Corporate 0 1, 29886.92577949522
421, Corporate, Production complete, CSA Corporate 0 1, 30042.565523842793
427, Corporate, Creation, Source corporate, 29934.519913186712
427, Corporate, Production started, CSA Corporate 0 0, 29934.519913186712
